Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Girl,Fifteen-year-old ballet dancer Lara faces physical and emotional hurdles as she prepares for gender confirmation surgery. Inspired by a true story.,Lukas Dhont,"Dramas, International Movies, LGBTQ Movies","Victor Polster, Arieh Worthalter, Oliver Bodart, Tijmen Govaerts, Katelijne Damen, Valentijn Dhaenens, Magali Elali, Alice de Broqueville, Chris Thys, Angelo Tijssens","Netherlands, Belgium",2018.0,R,106 min,7.2/10,Movie
Gotham,"Long before he was commissioner, rookie cop James Gordon takes on Gotham City crime and corruption to avenge the murder of Bruce Wayne's parents.",Danny Cannon,"Crime TV Shows, TV Action & Adventure, TV Dramas","Ben McKenzie, Donal Logue, Jada Pinkett Smith, David Mazouz, Sean Pertwee, Camren Bicondova, Robin Lord Taylor, Cory Michael Smith, Erin Richards, John Doman, Victoria Cartagena, Andrew Stewart-Jones, Larry Pine, Jessica Lucas, Maggie Geha, Charlie Tahan, Drew Powell, Morena Baccarin, Anthony Carrigan, Crystal Reed, Chris Chalk, Damian Young, Michael Buscemi, Alexander Siddig, Michael Maize",United States,2019.0,TV-MA,5 Seasons,7.7/10,TV Show
Grandmaster,"Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims.",B. Unnikrishnan,"International Movies, Thrillers","Mithra Kurian, Anoop Menon, Mohanlal, Narein, Priyamani, Roma, Siddique, Jagathy Sreekumar",India,2012.0,TV-14,133 min,6.9/10,Movie
Greater,Faith and determination transform a talentless football player at the University of Arkansas into an All-American in this inspiring true story.,David Hunt,"Children & Family Movies, Dramas, Sports Movies","Neal McDonough, Leslie Easterbrook, Christopher Severio, Michael Parks, Nick Searcy, Peter Gray Lewis, Fredric Lehne, M.C. Gainey, Texas Battle, Josh Emerson",United States,2016.0,PG,131 min,7.2/10,Movie
Gridlocked,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries.",Allan Ungar,Action & Adventure,"Dominic Purcell, Cody Hackman, Stephen Lang, Trish Stratus, Danny Glover, Vinnie Jones, Saul Rubinek, Richard Gunn, Steve Byers, James A. Woods",Canada,2015.0,R,114 min,6.0/10,Movie
Grizzlies,A group of disaffected students form an unlikely bond through the game of lacrosse when a new teacher introduces the sport to their remote Arctic town.,Miranda de Pencier,"Dramas, Independent Movies, Sports Movies","Ben Schnetzer, Emerald MacDonald, Booboo Stewart, Will Sasso, Paul Nutarariaq, Ricky Marty-Pahtaykan, Tantoo Cardinal, Eric Schweig",Canada,2018.0,R,106 min,7.4/10,Movie
Guilty,"When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",Ruchi Narain,"Dramas, International Movies","Kiara Advani, Akansha Ranjan Kapoor, Gurfateh Pirzada, Taher Shabbir, Niki Walia, Manu Rishi Chadha, Dalip Tahil, Kunal Vijaykar",India,2020.0,TV-MA,120 min,5.2/10,Movie
Guilty,"When a teen and her family's hired servant turn up dead, inept police bungle the inquiry and wind up fingering a controversial prime suspect.",Meghna Gulzar,"Dramas, International Movies","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah, Atul Kumar, Gajraj Rao, Prakash Belawadi, Shishir Sharma, Tabu",India,2015.0,TV-MA,127 min,8.3/10,Movie
Gumrah,"Jailed for drug trafficking while searching for the dad she's never met, a singer gets unlikely support from a crook whose love she has long rejected.",Mahesh Bhatt,"Action & Adventure, Dramas, International Movies","Sanjay Dutt, Sridevi, Anupam Kher, Rahul Roy, Soni Razdan, Reema Lagoo, Kunika, Tom Alter, Bob Christo, Anang Desai",India,1993.0,TV-14,149 min,6.1/10,Movie
Guru,Ambitious Gurukant Desai ignores his father's advice and leaves his village to find success in Turkey.,Mani Ratnam,"Dramas, International Movies","Abhishek Bachchan, Mithun Chakraborty, Aishwarya Rai Bachchan, Madhavan, Vidya Balan, Roshan Seth, Arya Babbar, Sachin Khedekar, Dhritiman Chatterjee, Manoj Joshi",India,2007.0,TV-PG,155 min,7.8/10,Movie
Guzaarish,"After an onstage disaster leaves an illusionist paralyzed, he channels his magic into a hit radio show. Years later, he fights for the right to die.",Sanjay Leela Bhansali,"Dramas, International Movies","Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna",India,2010.0,TV-14,121 min,7.5/10,Movie
Haani,"When a man discovers that he can communicate with his grandfather's spirit, it leads to two love stories intertwining 50 years apart.",Amitoj Mann,"Dramas, International Movies, Music & Musicals","Sarabjit Cheema, Mahreen Kaleka, Harbhajan Mann, Anuj Sachdeva, Rupan Bal, Sonia Mann",India,2013.0,TV-14,137 min,7.1/10,Movie
Haider,Shahid Kapoor delivers a searing performance in this Bollywood take on Hamlet that unfolds amid Kashmiri culture and history.,Vishal Bhardwaj,"Dramas, International Movies, Romantic Movies","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, Irrfan Khan, Narendra Jha",India,2014.0,TV-MA,154 min,8.2/10,Movie
Hakkunde,A perpetually unemployed graduate desperately leaves his city for a potential opportunity until a roadblock threatens to derail his chance at a career.,Oluseyi Asurf,"Comedies, Dramas, Independent Movies","Frank Donga, Rahama Sadau, Ali Nuhu, Toyin Aimakhu, Tunbosun Aiyedehin, Maryam Booth, Ahaji Issa Bello, Adebukola, Bukky Ajayi, Ibrahim Daddy, Seyilaw, Tomiwa Kukoyi",Nigeria,2017.0,TV-14,93 min,6.6/10,Movie
Halkaa,"Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.",Nila Madhab Panda,"Comedies, Dramas, Independent Movies","Tathastu, Aryan Preet, Ranvir Shorey, Paoli Dam, Kumud Mishra, Devender Chaudhary, Shrikant Verma",India,2018.0,TV-14,111 min,7.3/10,Movie
Hamid,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up.",Aijaz Khan,"Dramas, Independent Movies, International Movies","Talha Arshad Reshi, Rasika Dugal, Vikas Kumar, Sumit Kaul, Bashir Lone, Gurveer Singh, Ashraf Nagoo, Mir Sarvar",India,2018.0,TV-MA,108 min,7.7/10,Movie
Hampstead,An American widow in London forms an unexpected relationship with a man living off the grid in a beautiful park ripe for development.,Joel Hopkins,"Comedies, Dramas, International Movies","Diane Keaton, Brendan Gleeson, Lesley Manville, Jason Watkins, James Norton, Phil Davis","United Kingdom, Belgium",2019.0,PG-13,103 min,5.8/10,Movie
Haraamkhor,"A selfish, manipulative schoolteacher takes advantage of a schoolgirl's vulnerability to gratify his dark, narcissistic desires.",Shlok Sharma,"Dramas, Independent Movies, International Movies","Nawazuddin Siddiqui, Shweta Tripathi, Harish Khanna, Irfan Khan, Trimala Adhikari, Mohd Samad",India,2015.0,TV-14,93 min,6.5/10,Movie
Harud,"A young Kashmiri man sets out to escape to Pakistan and make sense of his brother's death, but he drifts aimlessly until finding his brother's camera.",Aamir Bashir,"Dramas, International Movies","Mohammad Amir Naji, Shahnawaz Bhat, Shamim Basharat, Salma Ashai, Mudessir Ahmed Khan, Rayes Mohiuddin",India,2010.0,TV-MA,100 min,6.3/10,Movie
Hattrick,Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.,Milan Luthria,"Comedies, Dramas, International Movies","Nana Patekar, Paresh Rawal, Kunal Kapoor, Rimi Sen, Danny Denzongpa, Prateeksha Lonkar, Gautam Bhimani, Harsha Bhogle",India,2007.0,TV-14,109 min,4.4/10,Movie
Hawaizaada,"In 1895 Mumbai, spirited Indian lad Shiv Talpade defies British rule and sparse funding – and physics – to build the world's first airplane.",Vibhu Virender Puri,"Dramas, International Movies, Romantic Movies","Ayushmann Khurrana, Mithun Chakraborty, Pallavi Sharda, Naman Jain, Jameel Khan",India,2015.0,TV-14,129 min,5.4/10,Movie
Headshot,"When a young man wakes from a coma, memories of brutal violence begin to surface, putting his life – and that of his doctor – in jeopardy.","Timo Tjahjanto, Kimo Stamboel","Action & Adventure, International Movies","Iko Uwais, Chelsea Islan, Julie Estelle, Sunny Pang, Very Tri Yulisman, David Hendrawan, Zack Lee, Yayu Unru, Ganindra Bimo",Indonesia,2016.0,TV-MA,119 min,6.1/10,Movie
Headwinds,"After his wife inexplicably disappears, a man takes their two children and relocates to his hometown in an attempt to end their grief and move on.",Jalil Lespert,"Dramas, Independent Movies, International Movies","Benoît Magimel, Isabelle Carré, Antoine Duléry, Ramzy Bédia, Bouli Lanners, Marie-Ange Casta, Daniel Duval, Lubna Azabal, Aurore Clément, Audrey Tautou","France, Belgium",2011.0,TV-MA,92 min,6.6/10,Movie
Helios,"When master criminal Helios steals a mobile WMD, rival agents from Hong Kong, South Korea and China must join forces to recover the device.","Leung Lok Man, Luk Kim-ching","Action & Adventure, International Movies","Jacky Cheung, Nick Cheung, Chang Chen, Shawn Yue, Wang Xueqi, Janice Man, Ji Jin-hee, Choi Si-won","Hong Kong, China, United States",2015.0,TV-14,118 min,5.8/10,Movie
Heritages,"After being forced to leave his country three times, a Lebanese film director traces his roots and analyzes key moments of the nation's history.",Philippe Aractingi,"Documentaries, International Movies","Philippe Aractingi, Diane Aractingi","Lebanon, United Arab Emirates, France, Switzerland, Germany",2014.0,TV-14,96 min,7.0/10,Movie
Hero,"A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.",Corey Yuen,"Action & Adventure, International Movies","Takeshi Kaneshiro, Yuen Biao, Valerie Chow, Jessica Hester Hsuan, Tak Yuen, Wah Yuen, Corey Yuen","Hong Kong, China",1997.0,TV-MA,89 min,6.4/10,Movie
Heroine,One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.,Madhur Bhandarkar,"Dramas, International Movies","Kareena Kapoor, Arjun Rampal, Randeep Hooda, Divya Dutta, Govind Namdeo, Sanjay Suri, Mugdha Godse, Shahana Goswami, Ranvir Shorey, Lillete Dubey",India,2012.0,TV-MA,143 min,5.0/10,Movie
Hickok,"While serving as the marshal of rowdy Abilene, Kansas, ""Wild Bill"" Hickok uses guns and gall to tidy up the lawless frontier town.",Timothy Woodward Jr.,Action & Adventure,"Luke Hemsworth, Trace Adkins, Kris Kristofferson, Bruce Dern, Cameron Richardson, Kaiwi Lyman, Hunter Fischer, Robert Catrini, Britain Simons",United States,2017.0,TV-MA,88 min,4.5/10,Movie
Highway,"City girl Veera is kidnapped on the eve of her wedding, but as her captors take her through the countryside, Veera finds herself feeling emancipated.",Imtiaz Ali,"Action & Adventure, Dramas, International Movies","Randeep Hooda, Alia Bhatt, Durgesh Kumar, Pradeep Nagar",India,2014.0,TV-14,127 min,7.7/10,Movie
Himmatwala,A young man returns to his native village on a mission of vengeance after his father commits suicide in the wake of false accusations.,Sajid Khan,"Action & Adventure, Comedies, International Movies","Ajay Devgn, Tamannaah Bhatia, Paresh Rawal, Zarina Wahab, Mahesh Manjrekar",India,2013.0,TV-14,140 min,1.8/10,Movie
Holidate,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,"Comedies, Romantic Movies","Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, Jessica Capshaw, Andrew Bachelor, Cynthy Wu, Alex Moffat, Manish Dayal",United States,2020.0,TV-MA,105 min,6.3/10,Movie
Home,"When misfit alien Oh mistakenly sends a party invite to the entire galaxy, he goes on the run to avoid trouble and befriends spunky human girl Tip.",Tim Johnson,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez, Matt Jones, Brian Stepanek, April Lawrence",United States,2015.0,PG,94 min,6.4/10,Movie
Homefront,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker.",Gary Fleder,Action & Adventure,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince",United States,2013.0,R,100 min,6.7/10,Movie
HOMUNCULUS,Truth and illusion blurs when a homeless amnesiac awakens from an experimental medical procedure with the ability to see people's innermost traumas.,Takashi Shimizu,"Horror Movies, International Movies, Thrillers","Go Ayano, Ryo Narita, Yukino Kishii, Anna Ishii, Seiyo Uchino",Japan,2021.0,TV-MA,116 min,5.5/10,Movie
Honeytrap,"New to London, a naive and desperate teenager tries to fit in but instead becomes tragically implicated in a merciless world of gang violence.",Rebecca Johnson,"Dramas, Independent Movies","Jessica Sula, Lucien Laviscount, Ntonga Mwanza, Naomi Ryan, Danielle Vitalis, Lauren Johns, Tosin Cole, Savannah Gordon-Liburd, Modupe Adeyeye",United Kingdom,2014.0,TV-MA,94 min,5.7/10,Movie
Hook,"Peter Pan, now grown up and a workaholic, must return to Neverland to save his kids from the clutches of vengeful pirate Captain Hook.",Steven Spielberg,Children & Family Movies,"Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins, Maggie Smith, Caroline Goodall, Charlie Korsmo, Amber Scott, Laurel Cronin, Phil Collins",United States,1991.0,PG,142 min,6.7/10,Movie
Hop,A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.,Tim Hill,"Children & Family Movies, Comedies","James Marsden, Russell Brand, Kaley Cuoco, Hank Azaria, Gary Cole, Elizabeth Perkins, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler","United States, France, Japan",2011.0,PG,95 min,5.5/10,Movie
Horns,"Accused of murder, Ig Perish wakes up one day to find he's grown a set of horns – compelling people to confess their sins to him.",Alexandre Aja,"Dramas, Horror Movies, Sci-Fi & Fantasy","Daniel Radcliffe, Juno Temple, Max Minghella, Joe Anderson, Kelli Garner, Heather Graham, David Morse, Kathleen Quinlan, James Remar","United States, Canada",2013.0,R,120 min,6.3/10,Movie
Hospital,"In an abandoned hospital in Tainan, visitors seeking to communicate with their relatives' spirits are haunted by disturbing, supernatural occurrences.",Brody Chu,"Horror Movies, International Movies","Lin Po-Hung, Tai Bo, Jacqueline Zhu, Lei Hong, Hsu Lichi, Yoko Young, Samuel Gu, Eunice Lin",Taiwan,2020.0,TV-MA,90 min,3.0/10,Movie
Hugo,"Living inside a Paris train station, an orphan eludes the rigid stationmaster, meets a legendary filmmaker and finds the key to unlocking his destiny.",Martin Scorsese,"Children & Family Movies, Dramas","Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Frances de la Tour, Jude Law, Johnny Depp, Edmund Kingsley, Richard Griffiths, Angus Barnett, Michael Pitt, Gulliver McGrath, Eric Moreau, Chloe Grace Moretz","United Kingdom, United States, France",2011.0,PG,127 min,7.6/10,Movie
Hunterrr,A sex-obsessed young man tries to put his past behind him when he falls for an extraordinary woman who makes him want to change his lifestyle.,Harshavardhan Kulkarni,"Comedies, International Movies, Romantic Movies","Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",India,2015.0,TV-MA,140 min,7.1/10,Movie
Hush,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.,Mike Flanagan,"Horror Movies, Thrillers","John Gallagher Jr., Kate Siegel, Michael Trucco, Samantha Sloyan, Emma Graves",United States,2016.0,R,82 min,6.7/10,Movie
Ibiza,"When Harper is sent to Spain for an important work meeting, her hard-partying friends tag along and convince her to pursue a fling with a famous DJ.",Alex Richanbach,"Comedies, Romantic Movies","Gillian Jacobs, Vanessa Bayer, Phoebe Robinson, Richard Madden, Michaela Watkins, Félix Gómez",United States,2018.0,TV-MA,94 min,5.3/10,Movie
IBOY,"When shards of a cell phone get lodged in a teenager's brain, he discovers he can control electronic devices and uses his newfound power for revenge.",Adam Randall,"International Movies, Sci-Fi & Fantasy, Thrillers","Bill Milner, Maisie Williams, Rory Kinnear, Miranda Richardson, Jordan Bolger, Charley Palmer Rothwell, Aymen Hamdouchi",United Kingdom,2017.0,TV-MA,91 min,6.1/10,Movie
